vtSymbol,OpenTime,OpenPrice,Direction,CloseTime,ClosePrice,Volume,Profit
rb,2017-01-05 09:25:00,2942.0,Short,2017-01-05 13:55:00,2988.0,1,-481.86
rb,2017-01-05 14:40:00,2964.0,Short,2017-01-05 14:55:00,2976.0,1,-141.88
rb,2017-01-05 21:10:00,2941.0,Short,2017-01-06 09:40:00,2977.0,1,-381.836
rb,2017-01-06 10:10:00,2970.0,Short,2017-01-06 10:40:00,2983.0,1,-151.906
rb,2017-01-06 10:55:00,2969.0,Short,2017-01-09 09:25:00,2950.0,1,168.162
rb,2017-01-10 09:55:00,3062.0,Short,2017-01-10 10:55:00,3112.0,1,-522.348
rb,2017-01-10 22:10:00,3188.0,Short,2017-01-11 22:40:00,3187.0,1,-12.75
rb,2017-01-12 13:55:00,3199.0,Short,2017-01-13 22:55:00,3208.0,1,-112.814
rb,2017-01-16 21:25:00,3382.0,Short,2017-01-17 22:40:00,3308.0,1,716.62
rb,2017-01-18 22:10:00,3278.0,Short,2017-01-19 13:55:00,3258.0,1,176.928
rb,2017-01-20 13:55:00,3267.0,Short,2017-01-23 10:10:00,3193.0,1,717.08
rb,2017-01-24 14:40:00,3282.0,Short,2017-01-25 13:40:00,3304.0,1,-243.172
rb,2017-01-26 10:10:00,3338.0,Short,2017-01-26 10:40:00,3347.0,1,-113.37
rb,2017-01-26 11:25:00,3336.0,Short,2017-02-03 21:55:00,3122.0,1,2117.084
rb,2017-02-07 21:55:00,3153.0,Short,2017-02-08 09:55:00,3220.0,1,-692.746
rb,2017-02-08 13:55:00,3209.0,Short,2017-02-08 21:10:00,3243.0,1,-362.904
rb,2017-02-08 22:25:00,3246.0,Short,2017-02-08 22:40:00,3262.0,1,-183.016
rb,2017-02-08 22:55:00,3233.0,Short,2017-02-09 22:40:00,3255.0,1,-242.976
rb,2017-02-13 13:40:00,3430.0,Short,2017-02-14 14:55:00,3425.0,1,26.29
rb,2017-02-14 21:25:00,3369.0,Short,2017-02-14 22:40:00,3420.0,1,-533.578
rb,2017-02-15 21:10:00,3391.0,Short,2017-02-16 09:55:00,3418.0,1,-293.618
rb,2017-02-16 21:10:00,3394.0,Short,2017-02-17 10:40:00,3477.0,1,-853.742
rb,2017-02-17 22:55:00,3485.0,Short,2017-02-20 09:40:00,3541.0,1,-584.052
rb,2017-02-20 14:10:00,3540.0,Short,2017-02-20 21:40:00,3561.0,1,-234.202
rb,2017-02-20 21:55:00,3559.0,Short,2017-02-21 09:25:00,3616.0,1,-594.35
rb,2017-02-21 13:40:00,3590.0,Short,2017-02-22 11:10:00,3555.0,1,325.71
rb,2017-02-22 13:55:00,3521.0,Short,2017-02-22 21:40:00,3537.0,1,-184.11599999999999
rb,2017-02-23 14:10:00,3479.0,Short,2017-02-24 13:55:00,3442.0,1,346.158
rb,2017-02-27 14:10:00,3584.0,Short,2017-03-01 09:40:00,3490.0,1,915.852
rb,2017-03-02 11:10:00,3571.0,Short,2017-03-03 10:55:00,3490.0,1,785.878
rb,2017-03-06 09:40:00,3499.0,Short,2017-03-06 22:40:00,3491.0,1,56.019999999999996
rb,2017-03-07 14:25:00,3461.0,Short,2017-03-07 21:40:00,3492.0,1,-333.906
rb,2017-03-07 22:55:00,3483.0,Short,2017-03-09 13:40:00,3388.0,1,926.258
rb,2017-03-10 11:10:00,3384.0,Short,2017-03-13 09:40:00,3445.0,1,-633.658
rb,2017-03-14 09:10:00,3598.0,Short,2017-03-14 22:55:00,3591.0,1,45.622
rb,2017-03-15 14:40:00,3637.0,Short,2017-03-16 14:55:00,3629.0,1,55.468
rb,2017-03-16 21:55:00,3588.0,Short,2017-03-16 22:10:00,3594.0,1,-84.364
rb,2017-03-17 13:55:00,3554.0,Short,2017-03-17 21:55:00,3586.0,1,-344.28
rb,2017-03-20 14:10:00,3577.0,Short,2017-03-21 21:25:00,3478.0,1,965.89
rb,2017-03-22 13:55:00,3426.0,Short,2017-03-23 10:40:00,3165.0,1,2586.818
rb,2017-03-24 10:40:00,3144.0,Short,2017-03-27 14:40:00,3040.0,1,1017.6320000000001
rb,2017-03-28 14:25:00,3071.0,Short,2017-03-29 09:10:00,3140.0,1,-712.422
rb,2017-03-29 21:55:00,3160.0,Short,2017-03-30 21:55:00,3167.0,1,-92.654
